NAME_a,NAME_b,F0,ZZ,XX,YY,DISC_DATE,R_LUM,R_LUM14
J0630+19,dsm+16 ,0.800929,0,dsm+16 ,0.07,-0.22,9.45,2016,,
B0628-28,lvw69a ,0.80358811986,5,hlk+04 ,-0.09,-0.26,8.67,1969,21.09,3.27
J0631+0646,cwp+17 ,9.01071834910,6,cwp+17 ,-0.00,-0.00,8.50,2017,,
J0631+1036,zcwl96 ,3.4746348982,1,ywml10 ,0.02,-0.76,10.46,1996,6.62,3.97
J0633+0632,aaa+09c ,3.3625291588,7,rkp+11 ,-0.02,-0.57,9.73,2009,,
J0633+1746,hh92 ,4.217639623538,35,jh05 ,0.01,-0.05,8.68,1992,,
J0633-2015,bjd+06 ,0.30738862302,5,bjd+06 ,-0.83,-2.72,10.84,2006,,2.71
J0635+0533,cmn+00 ,29.53643,1,cmn+00 ,-0.00,-0.00,8.50,2000,,
J0636-4549,bjd+06 ,0.503880543511,11,bjd+06 ,-0.14,-0.34,8.59,2006,,0.01
J0636+5129,slr+14 ,348.559231709945,3,abb+18 ,0.07,0.06,8.69,2014,0.08,
J0641+07,ttm+18 ,,0,,0.03,-0.53,9.64,2018,,
J0645+5158,slr+14 ,112.94972319215596,19,abb+18 ,0.28,0.21,9.22,2014,1.54,0.19
J0645+80,slr+14 ,1.52005,6,slr+14 ,2.34,3.38,11.76,2014,151.02,
J0646+0905,bkl+13 ,1.1063009,9,bkl+13 ,0.13,-1.03,10.79,2013,,22.86
J0647+0913,bkl+13 ,0.809812578190,20,bkl+13 ,0.15,-1.09,10.93,2013,,1.28
J0652-0142,bkl+13 ,1.082187933412,17,bkl+13 ,-0.02,-1.32,10.41,2013,,2.21
J0653+4706,bph+17a ,210.526316,0,bph+17a ,0.31,0.16,9.34,2017,,
B0643+80,dbtb82 ,0.8234244415576,13,hlk+04 ,1.06,1.53,9.93,1982,35.90,2.21
J0656-2228,bjd+06 ,0.816490218825,20,bjd+06 ,-0.25,-1.29,9.45,2006,,7.87
J0656-5449,jbo+09 ,5.45979980322,6,jbo+09 ,-0.13,-0.34,8.53,2009,,0.05
J0658+0022,bkl+13 ,1.775268966869,10,bkl+13 ,0.07,-1.30,10.47,2013,,0.72
B0656+14,mlt+78 ,2.59813685751,3,hlk+04 ,0.04,-0.10,8.77,1978,0.54,0.22
B0655+64,dth78 ,5.110620788131,4,hlk+04 ,0.17,0.18,8.83,1978,0.84,0.05
J0702-4956,bcm+15 ,1.501515953,1,bcm+15 ,-0.17,-0.50,8.59,2015,,
J0709-5923,jbo+09 ,2.06071533429,3,jbo+09 ,-0.13,-0.35,8.50,2009,,0.04
J0711+0931,lzb+00 ,0.823661832618,7,lzb+00 ,0.18,-0.52,9.53,2000,3.29,0.05
J0711-6830,bjb+97 ,182.1172346685786,10,rhc+16 ,-0.04,-0.10,8.48,1997,0.12,0.06
J0719-2545,bjd+06 ,1.025930674143,10,bjd+06 ,-1.00,-8.36,13.54,2006,,76.99
